,lat_high,lat_low,long_high,long_low,incident_count,camera_count,average_speed_limit,average_traffic_vol,signals_count,signs_count
1,51.212425,51.175465,-114.316252,-114.270207,0,0,0,0,0,0
2,51.212425,51.175465,-114.270207,-114.224618,0,0,75.0,0,0,18
3,51.212425,51.175465,-114.224618,-114.179029,0,0,65.0,3000.0,0,84
4,51.212425,51.175465,-114.179029,-114.13344,11,0,64.0,4500.0,1,845
5,51.212425,51.175465,-114.13344,-114.08785,2,0,60.0,4750.0,2,644
6,51.212425,51.175465,-114.08785,-114.042261,5,0,70.0,2666.6666666666665,1,342
7,51.212425,51.175465,-114.042261,-113.996672,22,0,73.63636363636364,0,0,52
8,51.212425,51.175465,-113.996672,-113.951083,20,0,65.0,15000.0,0,27
9,51.212425,51.175465,-113.951083,-113.905494,1,0,0,0,0,2
10,51.212425,51.175465,-113.905494,-113.859905,0,0,0,0,0,0
11,51.175465,51.138504,-114.316252,-114.270207,0,0,0,0,0,0
12,51.175465,51.138504,-114.270207,-114.224618,10,0,72.0,11000.0,7,1481
13,51.175465,51.138504,-114.224618,-114.179029,32,1,60.0,17437.5,10,1341
14,51.175465,51.138504,-114.179029,-114.13344,84,1,59.75609756097561,18708.333333333332,22,2145
15,51.175465,51.138504,-114.13344,-114.08785,79,2,61.08695652173913,22096.774193548386,24,3087
16,51.175465,51.138504,-114.08785,-114.042261,94,0,61.111111111111114,14722.222222222223,33,3376
17,51.175465,51.138504,-114.042261,-113.996672,55,2,65.83333333333333,26666.666666666668,15,1405
18,51.175465,51.138504,-113.996672,-113.951083,63,2,65.20833333333333,15416.666666666666,14,1681
19,51.175465,51.138504,-113.951083,-113.905494,26,0,80.43478260869566,21333.333333333332,3,346
20,51.175465,51.138504,-113.905494,-113.859905,0,0,0,0,0,8
21,51.138504,51.101544,-114.316252,-114.270207,0,0,0,0,0,26
22,51.138504,51.101544,-114.270207,-114.224618,26,0,62.0,21416.666666666668,10,2205
23,51.138504,51.101544,-114.224618,-114.179029,67,1,63.541666666666664,13220.0,39,4375
24,51.138504,51.101544,-114.179029,-114.13344,93,2,65.29411764705883,21892.85714285714,32,3788
25,51.138504,51.101544,-114.13344,-114.08785,23,0,75.0,17100.0,7,963
26,51.138504,51.101544,-114.08785,-114.042261,161,1,71.08108108108108,29724.137931034482,33,3280
27,51.138504,51.101544,-114.042261,-113.996672,25,0,70.0,17090.909090909092,6,267
28,51.138504,51.101544,-113.996672,-113.951083,80,0,60.96774193548387,14923.076923076924,17,2616
29,51.138504,51.101544,-113.951083,-113.905494,81,0,74.0,10375.0,22,2841
30,51.138504,51.101544,-113.905494,-113.859905,0,0,0,0,0,0
31,51.101544,51.064584,-114.316252,-114.270207,5,0,110.0,0,0,116
32,51.101544,51.064584,-114.270207,-114.224618,14,0,64.0,25714.285714285714,0,893
33,51.101544,51.064584,-114.224618,-114.179029,44,1,63.529411764705884,15466.666666666666,17,3430
34,51.101544,51.064584,-114.179029,-114.13344,123,2,62.0,17750.0,46,6108
35,51.101544,51.064584,-114.13344,-114.08785,161,3,49.583333333333336,22461.53846153846,49,6781
36,51.101544,51.064584,-114.08785,-114.042261,238,4,59.0,21413.043478260868,53,7761
37,51.101544,51.064584,-114.042261,-113.996672,354,6,60.3448275862069,30940.0,36,2475
38,51.101544,51.064584,-113.996672,-113.951083,290,6,51.904761904761905,18192.98245614035,50,4428
39,51.101544,51.064584,-113.951083,-113.905494,127,2,71.21212121212122,24772.727272727272,19,2586
40,51.101544,51.064584,-113.905494,-113.859905,0,0,0,0,0,15
41,51.064584,51.027624,-114.316252,-114.270207,0,0,0,0,0,0
42,51.064584,51.027624,-114.270207,-114.224618,3,0,0,0,0,63
43,51.064584,51.027624,-114.224618,-114.179029,45,0,61.666666666666664,14125.0,22,3841
44,51.064584,51.027624,-114.179029,-114.13344,107,2,61.0,19294.117647058825,35,6470
45,51.064584,51.027624,-114.13344,-114.08785,326,8,51.666666666666664,21381.57894736842,77,12675
46,51.064584,51.027624,-114.08785,-114.042261,465,22,35.833333333333336,13595.419847328245,223,33463
47,51.064584,51.027624,-114.042261,-113.996672,362,5,58.0,26820.51282051282,38,5590
48,51.064584,51.027624,-113.996672,-113.951083,259,5,50.588235294117645,13914.285714285714,56,5514
49,51.064584,51.027624,-113.951083,-113.905494,84,0,67.6923076923077,13625.0,23,2100
50,51.064584,51.027624,-113.905494,-113.859905,5,0,80.0,0,1,118
51,51.027624,50.990663,-114.316252,-114.270207,0,0,0,0,0,0
52,51.027624,50.990663,-114.270207,-114.224618,1,0,70.0,17000.0,0,68
53,51.027624,50.990663,-114.224618,-114.179029,15,0,60.0,14000.0,2,1359
54,51.027624,50.990663,-114.179029,-114.13344,69,0,66.66666666666667,17852.941176470587,21,3024
55,51.027624,50.990663,-114.13344,-114.08785,303,3,50.0,22717.94871794872,28,5723
56,51.027624,50.990663,-114.08785,-114.042261,307,9,53.888888888888886,26772.727272727272,61,7206
57,51.027624,50.990663,-114.042261,-113.996672,297,5,64.23076923076923,27291.666666666668,19,1813
58,51.027624,50.990663,-113.996672,-113.951083,63,1,57.2,14318.181818181818,17,2714
59,51.027624,50.990663,-113.951083,-113.905494,36,0,67.75,24750.0,4,150
60,51.027624,50.990663,-113.905494,-113.859905,0,0,80.0,0,0,7
61,50.990663,50.953703,-114.316252,-114.270207,0,0,0,0,0,0
62,50.990663,50.953703,-114.270207,-114.224618,0,0,0,0,0,0
63,50.990663,50.953703,-114.224618,-114.179029,0,0,0,0,0,0
64,50.990663,50.953703,-114.179029,-114.13344,0,0,60.0,3000.0,1,260
65,50.990663,50.953703,-114.13344,-114.08785,88,2,55.0,23500.0,26,3199
66,50.990663,50.953703,-114.08785,-114.042261,225,3,60.869565217391305,17871.79487179487,70,5268
67,50.990663,50.953703,-114.042261,-113.996672,149,3,61.94444444444444,33030.30303030303,34,3147
68,50.990663,50.953703,-113.996672,-113.951083,104,2,69.41176470588235,15291.666666666666,18,1711
69,50.990663,50.953703,-113.951083,-113.905494,38,1,70.55555555555556,12375.0,1,417
70,50.990663,50.953703,-113.905494,-113.859905,0,0,0,8500.0,0,165
71,50.953703,50.916743,-114.316252,-114.270207,0,0,0,0,0,0
72,50.953703,50.916743,-114.270207,-114.224618,0,0,0,0,0,0
73,50.953703,50.916743,-114.224618,-114.179029,0,0,0,0,0,2
74,50.953703,50.916743,-114.179029,-114.13344,9,0,59.0,16750.0,0,417
75,50.953703,50.916743,-114.13344,-114.08785,46,0,58.23529411764706,15421.052631578947,13,2700
76,50.953703,50.916743,-114.08785,-114.042261,154,5,49.2,21911.764705882353,34,3442
77,50.953703,50.916743,-114.042261,-113.996672,96,0,59.04761904761905,28047.619047619046,18,2693
78,50.953703,50.916743,-113.996672,-113.951083,93,5,65.38461538461539,20000.0,27,2372
79,50.953703,50.916743,-113.951083,-113.905494,27,0,64.61538461538461,17750.0,6,1078
80,50.953703,50.916743,-113.905494,-113.859905,0,0,61.42857142857143,0,0,119
81,50.916743,50.879782,-114.316252,-114.270207,0,0,0,0,0,0
82,50.916743,50.879782,-114.270207,-114.224618,0,0,0,0,0,0
83,50.916743,50.879782,-114.224618,-114.179029,1,0,0,7000.0,0,93
84,50.916743,50.879782,-114.179029,-114.13344,6,0,75.0,18000.0,0,241
85,50.916743,50.879782,-114.13344,-114.08785,50,0,60.0,8787.878787878788,16,2409
86,50.916743,50.879782,-114.08785,-114.042261,111,3,59.666666666666664,17442.30769230769,33,3905
87,50.916743,50.879782,-114.042261,-113.996672,27,1,59.54545454545455,18222.222222222223,6,1489
88,50.916743,50.879782,-113.996672,-113.951083,104,2,64.44444444444444,21264.70588235294,17,3479
89,50.916743,50.879782,-113.951083,-113.905494,35,1,72.0,16210.526315789473,10,2428
90,50.916743,50.879782,-113.905494,-113.859905,2,0,84.0,0,0,70
91,50.879782,50.842452,-114.316252,-114.270207,0,0,0,0,0,0
92,50.879782,50.842452,-114.270207,-114.224618,0,0,0,0,0,0
93,50.879782,50.842452,-114.224618,-114.179029,0,0,0,0,0,0
94,50.879782,50.842452,-114.179029,-114.13344,0,0,0,0,0,0
95,50.879782,50.842452,-114.13344,-114.08785,0,0,0,0,0,54
96,50.879782,50.842452,-114.08785,-114.042261,7,1,60.0,10000.0,1,303
97,50.879782,50.842452,-114.042261,-113.996672,17,1,73.33333333333333,9500.0,5,1487
98,50.879782,50.842452,-113.996672,-113.951083,13,0,80.0,16000.0,7,756
99,50.879782,50.842452,-113.951083,-113.905494,0,0,0,0,0,27
100,50.879782,50.842452,-113.905494,-113.859905,0,0,0,0,0,5
